carat,cut,color,clarity,depth,table,x,y,z,price
0.36,Ideal,H,IF,61.3,57.0,4.59,4.61,2.82,1163
0.33,Good,F,VVS1,60.2,64.0,4.47,4.5,2.7,724
0.53,Premium,E,VVS2,62.4,56.0,5.19,5.17,3.23,2331
0.28,Very Good,E,VVS2,59.1,59.0,4.27,4.33,2.54,642
2.01,Premium,H,SI2,61.5,59.0,8.12,8.08,4.98,11635
0.71,Premium,H,VS1,62.4,58.0,5.73,5.68,3.56,2572
0.26,Ideal,H,VVS2,62.5,54.0,4.11,4.14,2.58,508
0.9,Very Good,D,SI1,61.0,63.0,6.13,6.1,3.73,4304
0.41,Ideal,G,IF,61.7,56.0,4.77,4.8,2.95,1367
1.05,Ideal,G,SI2,62.3,56.0,6.52,6.58,4.08,4561
0.38,Ideal,E,VS1,61.6,56.0,4.66,4.62,2.86,1069
0.55,Premium,G,VS2,59.6,59.0,5.32,5.36,3.18,1448
0.41,Ideal,I,SI1,61.6,56.0,4.79,4.82,2.96,639
0.3,Ideal,I,VS2,61.6,57.0,4.28,4.33,2.65,438
1.24,Very Good,F,VVS1,62.7,61.0,6.75,6.84,4.26,11716
0.9,Good,D,SI2,63.8,58.0,6.13,6.09,3.9,3740
0.26,Premium,E,VVS1,61.7,59.0,4.14,4.1,2.54,769
0.7,Ideal,F,VS1,61.5,55.0,5.73,5.75,3.53,3261
0.33,Ideal,E,SI1,62.0,54.0,4.43,4.41,2.74,743
0.72,Fair,H,VVS2,56.5,68.0,6.03,5.89,3.37,2608
0.41,Ideal,D,SI1,62.2,57.0,4.7,4.76,2.94,791
1.31,Premium,I,SI1,62.0,58.0,7.01,6.98,4.34,5282
1.01,Very Good,D,VS1,63.1,58.0,6.34,6.3,3.99,7575
0.71,Ideal,G,VVS1,62.8,56.0,5.71,5.76,3.6,3254
0.9,Good,I,SI1,63.5,59.0,6.05,6.1,3.86,3176
0.6,Very Good,F,IF,60.1,54.0,5.5,5.58,3.33,2988
1.21,Fair,J,SI2,64.6,59.0,6.74,6.64,4.32,3984
1.06,Ideal,F,VS2,61.0,57.0,6.57,6.6,4.02,7075
0.36,Ideal,E,VVS2,61.8,54.0,4.6,4.62,2.85,928
0.33,Very Good,I,IF,62.0,58.0,4.44,4.46,2.76,694
0.34,Good,H,SI1,63.3,56.0,4.45,4.46,2.82,490
0.95,Very Good,E,SI2,58.7,63.0,6.43,6.37,3.76,3527
0.9,Ideal,G,SI2,62.5,56.0,6.15,6.2,3.86,3521
0.78,Ideal,H,SI2,,54.0,5.89,5.85,3.63,2012
0.73,Very Good,F,SI1,61.4,56.0,5.81,5.86,3.58,2879
0.3,Good,I,SI2,63.3,56.0,4.26,4.3,2.71,351
0.3,Ideal,F,IF,62.1,57.0,4.29,4.31,2.67,886
0.51,Ideal,F,VS2,62.9,55.0,5.12,5.08,3.21,1687
1.17,Ideal,G,VVS2,60.6,56.0,6.87,6.84,4.15,9225
1.04,Ideal,G,VS2,61.4,57.0,6.53,6.5,4.0,6290
1.73,Premium,I,SI1,61.2,60.0,7.67,7.65,4.69,10957
0.52,Good,G,IF,59.8,57.0,5.24,5.27,3.14,2093
0.31,Premium,G,VS1,62.8,58.0,4.3,4.27,2.69,802
0.27,Very Good,E,VVS1,60.9,59.0,4.17,4.21,2.55,620
0.3,Good,G,VVS1,64.0,57.0,4.27,4.23,2.72,878
1.47,Very Good,H,SI2,62.6,58.0,7.17,7.24,4.51,7438
0.35,Premium,G,IF,59.1,59.0,4.62,4.59,2.72,1116
0.3,Ideal,F,SI1,62.4,56.0,4.27,4.32,2.68,475
0.9,Ideal,J,VS2,61.3,57.0,6.16,6.24,3.8,3160
1.1,Ideal,I,VS1,61.7,57.0,6.65,6.62,4.09,5544
1.2,Premium,F,VVS2,60.5,60.0,6.98,6.87,4.19,10064
0.38,Ideal,D,VS1,62.3,54.0,4.64,4.7,2.9,983
0.91,Very Good,E,SI2,62.8,61.0,6.07,6.09,3.82,3703
0.67,Premium,G,VS2,61.0,61.0,5.66,5.61,3.44,2050
2.01,Premium,J,SI2,,59.0,8.04,8.1,5.0,12403
1.5,Very Good,J,VS2,60.5,63.0,7.27,7.32,4.41,7177
0.5,Good,G,SI1,63.9,57.0,5.02,5.06,3.22,1197
0.41,Ideal,E,VVS1,60.7,57.0,4.85,4.8,2.93,1431
0.3,Ideal,J,VS1,62.2,57.0,4.27,4.28,2.66,411
0.91,Ideal,F,SI1,62.3,56.0,6.16,6.19,3.85,4267
2.25,Premium,J,SI1,61.8,61.0,8.46,8.39,5.21,16004
0.31,Very Good,G,VS2,63.5,58.0,4.29,4.22,2.7,698
0.3,Ideal,H,VS1,61.3,56.0,4.31,4.33,2.65,526
0.24,Ideal,F,VVS2,61.1,57.0,4.03,4.06,2.47,552
1.0,Good,F,SI1,63.8,58.0,6.28,6.22,3.99,4586
1.11,Premium,I,SI1,61.9,58.0,6.63,6.61,4.1,3978
0.91,Ideal,G,VS1,61.3,56.0,6.28,6.21,3.83,4029
0.9,Fair,H,VS2,65.5,57.0,6.05,6.01,3.95,3226
0.6,Good,J,VS1,58.9,60.5,5.5,5.57,3.26,1306
0.37,Premium,E,VS2,60.3,58.0,4.66,4.63,2.8,1041
0.56,Ideal,D,SI1,61.2,56.0,5.31,5.34,3.26,1723
0.34,Ideal,E,VS1,60.8,57.0,4.53,4.49,2.74,1033
1.11,Good,H,SI1,64.2,58.0,6.47,6.53,4.17,4523
1.5,Ideal,I,VS1,62.0,54.0,7.32,7.38,4.56,10164
0.34,Ideal,E,SI1,63.0,55.0,4.47,4.42,2.8,765
0.32,Ideal,D,VS2,61.5,56.0,4.41,4.44,2.72,758
0.55,Ideal,G,VVS2,62.3,53.0,5.27,5.29,3.29,1799
0.91,Ideal,J,VS2,62.1,56.0,6.18,6.22,3.85,3256
0.7,Very Good,F,VS1,62.0,57.0,5.64,5.71,3.52,2808
0.5,Very Good,D,VS2,63.2,60.0,5.04,5.02,3.18,1632
0.72,Ideal,E,SI1,61.3,56.0,5.77,5.81,3.55,2731
0.3,Premium,H,VVS2,62.0,58.0,4.3,4.35,2.68,605
1.06,Very Good,E,SI2,62.1,56.0,6.52,6.59,4.07,4972
0.32,Premium,D,SI1,61.5,59.0,4.42,4.39,2.71,756
0.5,Ideal,F,IF,60.6,58.0,5.13,5.16,3.12,2529
1.22,Premium,I,SI1,61.2,59.0,6.86,6.9,4.21,5368
1.5,Premium,F,VS2,61.1,58.0,7.36,7.33,4.49,14199
0.27,Ideal,E,VS1,60.5,56.0,4.21,4.22,2.55,577
0.6,Very Good,D,SI1,60.3,58.0,5.44,5.51,3.3,1777
1.2,Premium,H,SI2,,58.0,6.76,6.81,4.24,5280
1.57,Ideal,I,SI1,62.2,56.0,7.42,7.47,4.63,10633
0.33,Ideal,D,VS2,62.6,56.0,4.43,4.39,2.76,1002
2.1,Ideal,H,SI1,62.9,57.0,8.19,8.12,5.13,18648
0.72,Ideal,E,VS2,61.1,56.0,5.78,5.81,3.54,3601
0.72,Very Good,E,SI1,62.9,54.0,5.72,5.76,3.61,2567
0.37,Ideal,G,VS2,62.2,57.0,4.64,4.59,2.87,833
1.06,Ideal,H,SI2,62.8,57.0,6.57,6.49,4.1,4452
1.14,Ideal,G,VS1,60.9,57.0,6.7,6.82,4.12,7750
0.71,Ideal,F,SI1,61.3,57.0,5.72,5.79,3.53,2699
0.31,Ideal,F,VS2,61.8,56.0,4.33,4.37,2.69,625
1.08,Ideal,H,SI2,59.3,57.0,6.74,6.71,3.99,4536
0.3,Ideal,G,SI1,62.3,56.0,4.29,4.32,2.68,432
0.26,Good,H,VVS2,63.4,55.0,4.05,4.06,2.57,440
1.08,Ideal,E,SI2,61.7,57.0,6.6,6.55,4.06,5080
1.08,Very Good,G,VS2,62.3,58.0,6.5,6.54,4.06,6415
0.44,Very Good,E,VVS2,59.6,59.0,4.98,4.99,2.97,1337
0.31,Ideal,D,SI2,62.5,55.0,4.34,4.3,2.7,593
0.5,Ideal,E,VS2,61.0,56.0,5.17,5.12,3.14,1629
0.3,Ideal,D,VS2,62.3,56.0,4.32,4.29,2.68,911
0.31,Premium,F,VS2,61.2,58.0,4.37,4.35,2.67,802
0.3,Very Good,H,SI1,59.4,63.0,4.35,4.4,2.6,421
0.42,Premium,G,VS2,59.8,58.0,4.86,4.9,2.92,847
1.56,Ideal,G,VS1,61.3,56.0,7.46,7.51,4.59,14957
0.21,Premium,D,VS2,61.6,59.0,3.82,3.78,2.34,386
0.76,Premium,F,IF,60.6,60.0,5.85,5.89,3.56,4223
2.01,Ideal,H,SI2,62.5,53.9,8.04,8.07,5.04,14998
0.9,Fair,D,SI1,65.7,65.0,6.06,5.94,3.94,3751
0.3,Ideal,I,VVS2,62.2,55.0,4.3,4.32,2.68,515
2.18,Good,H,SI2,60.4,64.0,8.47,8.38,5.09,16842
0.3,Very Good,D,VS2,62.5,57.0,4.26,4.28,2.67,670
0.3,Good,H,SI1,63.4,58.0,4.21,4.24,2.68,421
0.45,Premium,G,VVS1,60.8,58.0,4.92,4.98,3.01,1263
1.58,Premium,I,VS1,61.1,59.0,7.44,7.52,4.57,10428
0.31,Ideal,D,VVS2,61.6,54.0,4.37,4.4,2.7,840
0.23,Very Good,E,VVS2,61.1,62.0,3.92,3.94,2.4,485
0.7,Fair,D,VS2,65.2,59.0,5.58,5.55,3.63,2560
1.12,Ideal,F,VS2,61.9,55.0,6.68,6.73,4.15,7589
0.59,Premium,D,VVS2,62.6,58.0,5.34,5.4,3.36,2515
0.7,Ideal,F,VS1,61.7,55.0,5.72,5.76,3.54,3154
2.08,Ideal,H,SI1,61.7,58.0,8.13,8.21,5.04,17469
1.51,Premium,I,VVS2,62.1,58.0,7.32,7.29,4.54,9498
0.51,Good,F,SI1,64.2,59.0,5.04,5.02,3.23,1406
1.11,Ideal,H,SI2,62.7,57.0,6.66,6.59,4.14,4662
2.05,Premium,I,VS2,62.5,59.0,8.07,8.12,5.06,15897
1.14,Very Good,E,IF,,57.0,6.63,6.71,4.22,12647
0.31,Ideal,F,VS2,61.6,55.0,4.36,4.37,2.69,625
0.9,Good,G,SI1,60.0,61.0,6.19,6.22,3.72,3752
0.41,Ideal,G,IF,62.4,54.0,4.77,4.82,2.99,1259
1.02,Ideal,E,VVS1,61.4,57.0,6.39,6.47,3.95,11028
0.7,Good,D,SI1,61.6,62.0,5.67,5.72,3.51,2570
0.9,Fair,J,VS1,64.6,58.0,6.12,6.06,3.93,2964
0.6,Ideal,G,IF,62.0,55.0,5.39,5.44,3.36,2570
0.5,Very Good,F,VVS2,61.9,56.0,5.09,5.12,3.16,2003
1.18,Very Good,E,I1,59.9,63.0,6.85,6.8,4.09,3278
1.06,Good,G,VS1,63.4,57.0,6.45,6.48,4.1,6477
1.33,Ideal,F,IF,60.2,57.0,7.12,7.17,4.3,18435
0.5,Good,E,SI1,63.3,59.0,4.99,5.03,3.17,1316
0.38,Good,D,VS1,63.4,55.0,4.61,4.64,2.93,853
0.31,Ideal,F,VVS1,61.1,56.0,4.37,4.4,2.68,975
0.36,Premium,G,VS2,62.5,58.0,4.55,4.51,2.83,756
0.31,Ideal,D,SI1,61.2,57.0,4.34,4.38,2.67,533
0.37,Ideal,D,SI1,61.5,57.0,4.6,4.63,2.84,681
0.7,Ideal,G,VS1,61.9,57.0,5.7,5.68,3.52,2724
1.01,Good,D,VS2,62.5,62.0,6.26,6.34,3.94,6563
0.31,Premium,I,VS1,62.3,59.0,4.29,4.35,2.69,489
0.34,Ideal,I,IF,61.6,54.0,4.5,4.53,2.78,695
0.44,Premium,G,VVS2,61.3,60.0,4.94,4.88,3.01,1155
0.25,Good,D,VS1,57.6,60.0,4.15,4.18,2.4,399
0.33,Premium,E,SI1,59.6,60.0,4.51,4.48,2.68,545
1.02,Ideal,E,IF,62.6,57.0,6.47,6.41,4.03,11605
1.01,Good,G,SI1,62.8,58.0,6.36,6.29,3.97,4641
1.01,Ideal,G,VS2,61.0,56.0,6.47,6.51,3.96,6734
2.1,Very Good,I,SI2,60.6,60.0,8.29,8.33,5.04,12612
0.45,Very Good,D,VS2,62.9,58.4,4.83,4.86,3.04,1311
0.32,Premium,H,SI1,61.3,60.0,4.36,4.42,2.69,449
0.3,Premium,G,VS1,62.0,60.0,4.28,4.23,2.64,776
0.26,Very Good,G,VVS2,62.5,55.0,4.1,4.12,2.57,486
0.4,Premium,E,VS1,60.1,58.0,4.76,4.72,2.85,1125
1.0,Ideal,D,SI2,62.7,58.0,6.34,6.39,3.99,5246
0.66,Very Good,F,SI2,61.6,54.0,5.62,5.64,3.47,1311
0.33,Ideal,H,VVS2,61.9,57.0,4.41,4.44,2.74,666
1.1,Ideal,H,SI2,62.0,56.5,6.58,6.63,4.09,5002
0.3,Ideal,E,VS2,62.1,56.0,4.31,4.25,2.66,844
0.41,Ideal,H,SI1,62.6,55.0,4.79,4.77,2.99,876
0.9,Premium,I,SI1,61.8,58.0,6.21,6.19,3.83,3251
0.39,Ideal,E,VS2,61.4,55.0,4.76,4.81,2.94,734
1.0,Very Good,I,SI1,63.3,56.0,6.27,6.36,4.0,4538
0.7,Premium,G,SI1,59.1,59.0,5.77,5.83,3.43,2042
0.59,Premium,H,SI1,61.9,59.0,5.43,5.34,3.33,1265
0.51,Good,H,SI1,63.4,57.0,5.06,5.09,3.22,1119
0.71,Very Good,H,VVS2,62.5,56.0,5.65,5.68,3.54,2594
0.6,Good,F,VS2,58.8,60.7,5.52,5.55,3.25,1940
0.3,Ideal,E,VS2,62.0,57.0,4.26,4.29,2.65,603
1.14,Ideal,E,SI2,62.4,57.0,6.64,6.7,4.16,5473
1.03,Premium,H,SI1,61.9,58.0,6.49,6.43,4.0,4932
0.3,Very Good,G,VS2,63.5,54.0,4.28,4.25,2.71,675
0.27,Ideal,G,IF,61.6,57.0,4.18,4.21,2.58,566
1.25,Ideal,J,VVS2,61.1,57.0,6.91,6.94,4.23,5975
0.9,Ideal,G,SI1,,56.0,6.2,6.14,3.84,3931
0.52,Very Good,G,VS1,61.1,58.0,5.16,5.19,3.16,1689
0.72,Ideal,F,VS2,61.8,56.0,5.72,5.74,3.54,3564
0.33,Ideal,E,VS2,62.5,55.0,4.46,4.41,2.77,792
0.41,Very Good,F,VS1,60.7,56.0,4.77,4.82,2.91,1007
0.51,Ideal,D,VS2,61.5,57.0,5.11,5.14,3.15,1787
0.71,Premium,E,VS2,61.5,60.0,5.76,5.68,3.52,2858
1.75,Very Good,D,SI1,61.4,60.0,7.76,7.8,4.78,15544
0.7,Very Good,G,SI1,62.5,59.0,5.69,5.73,3.57,2545
0.3,Premium,J,VS1,63.0,59.0,4.27,4.24,2.68,506
0.4,Ideal,G,VVS1,61.5,57.0,4.74,4.79,2.93,1059
0.5,Good,H,SI1,64.5,58.0,4.97,4.99,3.21,1017
0.47,Good,F,VS1,59.0,60.2,5.04,5.09,2.99,1243
0.72,Good,F,SI1,63.6,55.0,5.71,5.64,3.61,2421
0.9,Premium,D,SI2,61.2,62.0,6.22,6.07,3.76,4133
0.55,Good,J,VS2,64.1,54.0,5.18,5.21,3.33,1034
0.38,Premium,H,VS2,61.8,58.0,4.63,4.66,2.87,700
0.51,Very Good,E,SI1,63.5,54.0,5.1,5.07,3.23,1443
0.41,Good,E,VVS1,63.5,57.0,4.73,4.75,3.01,1002
0.38,Premium,E,VS2,59.2,60.0,4.77,4.73,2.81,1112
0.29,Ideal,G,VVS2,61.3,56.0,4.23,4.25,2.6,600
0.72,Ideal,E,VVS1,61.4,57.0,5.74,5.79,3.54,4864
0.57,Ideal,G,VS1,59.3,57.0,5.42,5.45,3.23,1942
0.32,Ideal,G,VVS2,61.5,57.0,4.43,4.39,2.71,936
1.2,Ideal,G,VVS2,62.3,54.0,6.82,6.86,4.26,10812
0.3,Ideal,E,SI1,61.4,56.0,4.36,4.33,2.67,720
0.33,Premium,J,VS2,59.6,61.0,4.53,4.49,2.69,450
0.56,Ideal,D,VS1,62.6,55.0,5.25,5.29,3.3,2057
0.3,Ideal,H,VVS1,,58.0,4.27,4.29,2.65,665
0.3,Ideal,D,VVS2,62.9,56.0,4.29,4.27,2.69,965
0.5,Premium,G,VS1,62.5,58.0,5.11,5.07,3.18,1746
0.7,Good,F,VS1,62.8,61.0,5.57,5.61,3.51,2810
0.39,Good,F,SI1,63.6,58.0,4.65,4.6,2.94,921
1.51,Premium,E,VS2,60.7,60.0,7.46,7.37,4.5,14844
0.59,Ideal,G,VVS2,62.6,57.0,5.33,5.37,3.35,2125
1.06,Premium,D,SI2,60.9,60.0,6.55,6.52,3.98,4155
0.3,Ideal,F,IF,60.8,56.0,4.35,4.36,2.65,892
0.77,Very Good,D,SI1,58.6,59.0,6.0,6.04,3.53,3160
0.24,Ideal,F,VVS2,61.6,54.0,4.0,4.09,2.49,552
0.51,Very Good,E,VS2,62.8,56.0,5.11,5.14,3.22,1612
1.1,Ideal,E,VVS1,61.1,56.0,6.69,6.73,4.1,12748
0.5,Good,E,SI1,63.7,56.0,5.06,5.02,3.21,1415
0.5,Ideal,G,VVS2,61.4,56.0,5.11,5.15,3.15,1787
0.54,Ideal,H,VVS2,61.1,56.0,5.23,5.28,3.21,1696
0.71,Ideal,D,SI2,61.3,57.0,5.71,5.78,3.52,2610
1.21,Ideal,G,VS2,61.8,57.0,6.83,6.79,4.21,8001
0.3,Very Good,G,VVS1,60.7,56.0,4.32,4.35,2.63,725
1.27,Premium,J,VS2,62.8,58.0,6.96,6.92,4.36,4011
1.2,Very Good,H,VS1,61.8,56.0,6.82,6.86,4.23,6713
0.83,Premium,D,SI1,61.3,58.0,6.03,6.0,3.69,2990
0.7,Premium,F,SI1,60.4,58.0,5.76,5.82,3.5,2196
1.01,Fair,G,VS2,66.8,56.0,6.15,6.09,4.09,4480
1.09,Ideal,I,SI1,59.4,61.0,6.68,6.73,3.98,4692
1.51,Very Good,F,VS2,61.1,59.0,7.32,7.37,4.49,14165
1.51,Very Good,I,SI1,61.6,58.0,7.35,7.3,4.51,9283
0.35,Ideal,D,SI2,61.8,57.0,4.57,4.53,2.81,669
1.0,Good,D,SI2,64.3,59.0,6.21,6.3,4.02,4065
1.01,Premium,H,SI1,60.0,58.0,6.6,6.54,3.94,4965
0.41,Very Good,G,VVS2,61.1,55.0,4.8,4.82,2.94,932
1.18,Very Good,E,VVS2,61.5,58.0,6.78,6.87,4.2,12100
0.24,Very Good,F,VS2,62.4,58.0,3.98,4.0,2.49,419
0.31,Very Good,G,VS1,60.5,57.0,4.39,4.42,2.67,640
1.14,Very Good,J,VS1,60.0,60.0,6.76,6.81,4.07,4702
1.5,Very Good,E,SI1,60.5,63.0,7.42,7.35,4.48,10046
1.05,Ideal,E,VS1,62.1,56.0,6.57,6.48,4.05,9160
0.3,Good,H,SI1,63.7,56.0,4.2,4.22,2.68,421
0.72,Ideal,E,SI1,62.6,57.0,5.69,5.74,3.58,2731
0.43,Premium,F,SI1,60.5,60.0,4.88,4.84,2.94,1016
1.24,Premium,E,SI1,58.5,60.0,7.08,7.01,4.11,5775
0.55,Premium,F,SI2,60.6,58.0,5.31,5.28,3.21,1263
0.7,Premium,D,VS1,62.5,59.0,5.69,5.64,3.54,3365
0.34,Ideal,D,VS1,61.3,56.0,4.5,4.54,2.77,742
0.4,Ideal,E,VS2,60.9,56.0,4.78,4.81,2.92,904
0.7,Premium,G,SI2,58.9,59.0,5.73,5.7,3.37,1636
0.5,Premium,E,VS2,62.9,59.0,5.09,5.06,3.19,1746
0.41,Very Good,E,VVS1,59.8,62.0,4.79,4.84,2.88,1057
0.42,Premium,D,SI2,60.1,58.0,4.88,4.83,2.92,898
2.0,Fair,J,SI1,66.4,55.0,7.82,7.67,5.15,11189
1.54,Premium,I,SI1,60.9,59.0,7.42,7.46,4.53,8258
1.08,Ideal,G,VS2,61.3,56.0,6.62,6.59,4.05,6706
0.41,Premium,G,VS2,,59.0,4.85,4.8,2.93,990
0.41,Good,E,SI1,63.6,58.0,4.72,4.74,3.01,705
0.33,Ideal,I,SI1,62.7,56.0,4.44,4.4,2.77,572
1.0,Ideal,E,VS2,59.6,57.0,6.43,6.42,3.83,7168
0.33,Ideal,G,VS2,61.3,57.0,4.45,4.49,2.74,598
0.73,Very Good,E,SI2,63.1,59.0,5.76,5.72,3.62,1975
1.51,Good,E,SI1,62.8,59.0,7.16,7.2,4.51,11487
0.38,Ideal,H,VVS1,60.7,55.0,4.71,4.74,2.87,1219
0.4,Fair,F,SI1,64.7,58.0,4.67,4.63,3.01,857
1.01,Very Good,G,VS1,62.7,56.0,6.36,6.46,4.02,6326
0.32,Ideal,G,SI2,63.0,56.0,4.35,4.32,2.73,540
0.31,Ideal,F,VVS1,61.1,55.0,4.38,4.39,2.68,840
0.74,Good,E,VS2,63.5,56.0,5.75,5.8,3.67,3163
0.66,Ideal,D,VVS2,61.6,57.0,5.57,5.64,3.45,3103
1.01,Very Good,G,VS2,61.9,58.0,6.37,6.42,3.96,6047
0.71,Premium,F,VS1,60.5,58.0,5.75,5.72,3.47,2839
0.54,Premium,G,SI2,61.4,59.0,5.24,5.21,3.21,1195
0.41,Very Good,E,SI1,62.4,55.0,4.74,4.78,2.97,755
1.28,Ideal,G,I1,61.6,57.0,6.96,6.93,4.28,4509
0.71,Very Good,G,VS2,63.1,54.0,5.64,5.7,3.58,2574
1.13,Very Good,H,SI2,62.7,55.0,6.61,6.69,4.17,4661
1.1,Premium,H,VS2,61.4,58.0,6.68,6.62,4.08,5652
0.33,Ideal,E,SI1,61.2,56.0,4.46,4.49,2.74,702
0.43,Ideal,H,VVS2,61.3,56.0,4.86,4.9,2.99,943
0.33,Premium,E,VS1,61.0,55.0,4.51,4.47,2.74,1069
1.31,Very Good,I,SI1,62.6,59.0,6.97,6.86,4.33,6686
1.02,Ideal,D,SI1,62.1,53.0,6.43,6.38,3.98,4798
0.91,Premium,E,I1,59.6,59.0,6.29,6.32,3.76,2464
0.49,Premium,H,VS2,59.6,62.0,5.17,5.14,3.07,965
0.9,Premium,D,SI1,59.5,57.0,6.29,6.21,3.72,3689
0.31,Very Good,G,VVS2,62.9,58.0,4.28,4.3,2.7,707
1.05,Premium,H,VS2,59.0,59.0,6.71,6.68,3.95,5468
0.31,Very Good,D,SI2,62.8,53.0,4.35,4.37,2.74,462
0.52,Ideal,I,VVS1,60.1,56.0,5.24,5.27,3.16,1454
1.51,Good,D,SI2,62.1,60.0,7.25,7.3,4.52,9069
1.75,Very Good,G,VS1,59.6,60.0,7.76,7.9,4.67,17036
1.01,Very Good,I,VS2,62.3,60.0,6.33,6.41,3.97,4666
0.71,Premium,E,VS2,62.4,60.0,5.68,5.66,3.54,2613
0.34,Ideal,I,IF,62.1,54.0,4.49,4.53,2.8,695
0.41,Premium,G,VS1,61.9,60.0,4.7,4.76,2.93,899
0.52,Ideal,F,VVS2,62.1,54.0,5.17,5.2,3.22,1978
2.0,Very Good,I,SI1,63.6,57.0,7.9,7.99,5.05,14057
0.57,Premium,E,SI1,59.4,58.0,5.42,5.38,3.21,1613
1.19,Premium,H,VS2,61.1,58.0,6.83,6.78,4.16,6944
0.5,Very Good,H,VS1,64.6,56.0,4.97,5.06,3.24,1426
0.32,Premium,G,VS2,62.3,58.0,4.36,4.41,2.73,561
0.51,Premium,F,VS2,60.7,59.0,5.16,5.19,3.14,1402
0.41,Premium,J,VS1,61.3,59.0,4.78,4.74,2.92,830
0.92,Ideal,F,SI1,62.2,55.0,6.25,6.19,3.87,3400
0.94,Premium,H,VS2,60.1,59.0,6.35,6.32,3.81,4548
1.12,Premium,G,SI2,62.8,58.0,6.62,6.57,4.14,4478
1.04,Premium,G,SI2,62.8,59.0,6.47,6.42,4.05,3564
0.31,Premium,H,VS2,62.7,59.0,4.32,4.29,2.7,628
0.35,Very Good,D,SI2,63.3,55.0,4.49,4.45,2.83,669
0.4,Premium,G,SI1,61.4,60.0,4.71,4.67,2.88,900
0.3,Very Good,D,SI1,62.2,58.0,4.28,4.31,2.67,552
0.3,Ideal,D,VS2,62.3,58.0,4.25,4.29,2.66,670
1.55,Ideal,I,VS1,61.9,55.0,7.46,7.43,4.61,11067
0.38,Ideal,E,SI1,,53.8,4.63,4.67,2.88,693
1.2,Premium,E,SI1,,57.0,6.98,6.84,4.17,7362
0.54,Premium,H,VS1,62.4,55.0,5.25,5.2,3.26,1637
1.26,Premium,D,SI2,61.9,58.0,6.88,6.81,4.24,5412
1.12,Premium,E,SI1,58.8,61.0,6.8,6.74,3.98,5547
0.71,Very Good,I,SI1,61.5,58.0,5.67,5.72,3.5,2141
0.53,Premium,G,VS2,62.4,59.0,5.16,5.13,3.21,1607
0.7,Very Good,H,SI1,62.8,57.0,5.61,5.66,3.54,2214
0.41,Good,E,SI2,63.5,55.0,4.69,4.73,2.99,638
1.52,Premium,G,VVS1,62.7,59.0,7.32,7.35,4.6,12498
1.57,Ideal,G,SI1,61.7,55.0,7.51,7.44,4.61,8752
1.04,Premium,I,VS1,61.6,56.0,6.59,6.52,4.04,4892
0.51,Ideal,J,SI2,62.1,56.0,5.1,5.14,3.18,885
0.43,Ideal,G,VS1,61.2,57.0,4.88,4.83,2.97,941
1.63,Ideal,H,SI1,61.8,57.0,7.5,7.54,4.64,12910
1.2,Ideal,I,VS1,62.8,55.0,6.79,6.75,4.25,6774
0.3,Premium,E,VS2,62.1,59.0,4.29,4.27,2.66,844
