carat,cut,color,clarity,depth,table,x,y,z,price
2.1,Very Good,I,SI2,60.6,60.0,8.29,8.33,5.04,12612
1.51,Very Good,D,SI2,63.2,59.0,7.25,7.18,4.56,7915
0.41,Ideal,F,IF,61.6,56.0,4.79,4.82,2.96,1439
0.71,Ideal,G,VS2,62.1,57.0,5.71,5.63,3.52,2587
0.35,Ideal,I,VS1,60.9,57.0,4.54,4.59,2.78,552
0.5,Ideal,E,VS2,61.8,55.0,5.11,5.06,3.14,1746
0.92,Premium,F,SI2,58.1,58.0,6.46,6.41,3.74,3282
1.52,Ideal,G,SI1,60.3,57.0,7.58,7.48,4.54,11028
0.32,Premium,D,SI1,61.5,59.0,4.42,4.39,2.71,756
0.72,Ideal,G,SI1,61.8,56.0,5.7,5.76,3.55,3048
0.73,Ideal,I,VS2,61.7,55.0,5.79,5.82,3.58,2453
1.76,Fair,J,VS1,56.9,66.0,8.09,7.94,4.56,9314
0.75,Good,F,I1,64.0,59.0,5.78,5.62,3.66,1013
0.36,Ideal,G,IF,61.7,56.0,4.57,4.6,2.83,985
1.05,Ideal,G,VS2,60.8,57.0,6.65,6.58,4.02,6604
1.02,Good,E,SI1,63.7,62.0,6.31,6.4,4.05,4443
0.3,Good,J,VS1,63.4,57.0,4.23,4.26,2.69,394
1.05,Premium,D,SI2,58.9,58.0,6.74,6.67,3.95,5134
0.95,Very Good,J,SI1,,55.0,6.25,6.21,3.95,3154
1.05,Premium,H,SI1,61.3,58.0,6.52,6.47,3.98,5228
0.34,Ideal,G,VS2,62.2,55.0,4.47,4.5,2.79,596
1.66,Very Good,I,SI1,63.0,57.0,7.45,7.5,4.71,8901
1.01,Good,D,SI2,63.6,56.0,6.38,6.33,4.04,4805
1.0,Premium,D,VS1,59.7,60.0,6.45,6.42,3.84,8124
0.54,Ideal,G,VS1,61.8,54.0,5.22,5.24,3.23,1754
1.02,Very Good,F,SI1,61.9,58.0,6.43,6.49,4.0,5019
1.26,Ideal,D,SI2,61.6,56.0,6.99,6.95,4.3,5412
0.7,Ideal,E,VS2,60.5,59.0,5.72,5.75,3.47,3201
0.3,Ideal,H,VS2,61.7,57.0,4.28,4.32,2.65,454
2.09,Premium,F,SI2,61.2,57.0,8.26,8.21,5.04,12377
1.51,Good,F,SI1,59.5,58.0,7.35,7.44,4.4,14148
0.26,Ideal,E,VVS1,,57.0,4.07,4.1,2.52,599
0.91,Very Good,G,VVS2,62.1,60.0,6.14,6.19,3.83,4913
1.7,Ideal,G,VS2,62.9,55.0,7.66,7.6,4.8,15756
0.41,Ideal,E,VVS1,62.1,56.0,4.76,4.78,2.96,1057
1.41,Premium,G,VS1,62.1,59.0,7.1,7.06,4.4,11347
1.09,Ideal,F,VS2,60.9,54.0,6.66,6.73,4.08,7385
0.34,Good,H,VS2,63.7,57.0,4.42,4.44,2.82,537
1.0,Good,F,SI1,63.3,61.0,6.29,6.31,3.99,4712
1.02,Very Good,H,SI2,58.3,61.0,6.57,6.63,3.85,4004
0.71,Premium,F,SI1,59.0,61.0,5.88,5.84,3.46,2528
0.34,Ideal,G,VS1,62.0,55.0,4.47,4.5,2.78,681
0.3,Ideal,F,IF,61.7,58.0,4.3,4.32,2.66,886
0.38,Ideal,E,SI2,61.5,55.0,4.69,4.72,2.89,603
0.71,Good,H,SI1,64.0,61.0,5.61,5.54,3.57,2207
0.73,Ideal,E,VS1,61.4,55.0,5.8,5.82,3.57,3471
1.02,Premium,D,SI2,62.3,58.0,6.42,6.37,3.99,4044
0.67,Very Good,G,VS1,59.9,57.4,5.69,5.75,3.42,2309
0.51,Premium,F,VVS1,62.6,57.0,5.1,5.06,3.18,2341
1.01,Very Good,I,VS2,62.3,60.0,6.33,6.41,3.97,4666
1.22,Very Good,J,SI1,58.8,61.0,6.94,7.0,4.1,4969
0.75,Very Good,E,SI1,62.9,57.0,5.79,5.84,3.66,2753
1.0,Very Good,G,VVS2,63.0,54.0,6.37,6.43,4.03,8138
0.41,Very Good,H,VS2,,58.0,4.77,4.66,2.99,943
0.43,Very Good,E,SI1,62.4,56.0,4.79,4.83,3.0,792
0.8,Ideal,E,SI2,60.9,57.0,6.0,6.03,3.66,3251
0.42,Ideal,I,SI1,61.0,56.0,4.86,4.83,2.96,914
0.9,Very Good,I,SI1,63.5,59.0,6.1,6.05,3.86,3121
0.79,Ideal,I,VS1,62.2,57.0,5.89,5.94,3.68,2958
0.55,Ideal,G,VVS1,62.6,56.0,5.24,5.27,3.29,2116
1.2,Good,F,VVS1,63.6,57.0,6.71,6.74,4.28,10982
1.04,Very Good,H,VS2,63.2,58.0,6.45,6.42,4.07,4911
0.58,Ideal,E,SI2,62.7,56.0,5.29,5.34,3.33,1234
0.38,Ideal,D,VVS2,61.5,57.0,4.67,4.63,2.86,1257
0.52,Ideal,D,VS2,62.1,57.0,5.13,5.17,3.2,1774
0.56,Ideal,G,VS2,60.6,57.0,5.33,5.36,3.24,1580
0.36,Ideal,E,SI1,62.9,56.0,4.57,4.52,2.86,810
0.6,Premium,D,SI1,62.9,58.0,5.39,5.33,3.37,1799
0.52,Very Good,E,VS2,62.3,57.0,5.1,5.17,3.2,1689
0.32,Ideal,F,VS2,62.3,56.0,4.37,4.4,2.73,645
0.71,Premium,D,SI2,61.7,59.0,5.67,5.71,3.51,2743
1.11,Good,F,SI1,63.1,56.0,6.59,6.63,4.17,5769
0.23,Very Good,E,VVS2,61.4,55.0,3.92,3.99,2.43,458
0.52,Ideal,G,SI1,61.2,55.0,5.2,5.23,3.19,1675
0.71,Ideal,G,SI2,61.5,55.0,5.74,5.78,3.54,2264
1.01,Very Good,F,IF,61.9,59.0,6.38,6.45,3.97,10476
1.5,Good,I,SI1,63.8,59.0,7.21,7.11,4.57,8736
0.54,Good,H,SI1,63.3,57.0,5.15,5.22,3.28,1154
0.72,Ideal,G,SI1,61.4,56.0,5.75,5.78,3.54,2686
1.3,Very Good,H,SI2,62.8,58.0,6.93,7.01,4.38,6140
1.52,Premium,D,SI2,61.6,56.0,7.47,7.39,4.58,10487
0.51,Ideal,D,SI1,61.5,56.0,5.15,5.16,3.17,1431
0.56,Premium,G,VS2,62.5,57.0,5.28,5.25,3.29,1698
0.32,Premium,I,SI1,61.1,59.0,4.42,4.38,2.69,540
0.33,Ideal,G,SI1,61.3,56.0,4.51,4.46,2.75,631
0.37,Premium,D,SI1,61.9,59.0,4.62,4.65,2.87,681
0.58,Ideal,F,VS2,62.1,55.0,5.33,5.37,3.32,1666
0.41,Premium,G,SI1,60.3,59.0,4.79,4.76,2.88,923
0.59,Very Good,J,VS2,60.8,56.6,5.42,5.47,3.31,1257
0.5,Premium,E,VS2,62.3,60.0,5.09,5.05,3.16,1746
0.31,Very Good,H,VS1,62.8,58.0,4.29,4.31,2.7,544
2.26,Very Good,H,SI2,63.2,58.0,8.38,8.26,5.26,13095
0.26,Premium,E,VVS1,61.7,59.0,4.14,4.1,2.54,769
0.52,Very Good,F,SI1,61.0,59.0,5.18,5.21,3.17,1326
1.01,Very Good,E,VS2,59.3,59.0,6.5,6.56,3.87,5760
0.92,Good,F,SI2,64.2,58.0,6.11,6.14,3.93,3340
0.7,Premium,F,VS1,60.7,60.0,5.78,5.75,3.5,2792
0.7,Premium,E,VS2,63.0,60.0,5.64,5.6,3.54,2818
0.83,Ideal,G,SI1,61.8,55.0,6.05,6.09,3.75,3171
0.3,Fair,E,SI1,64.5,49.0,4.28,4.25,2.75,630
2.2,Ideal,J,VS2,61.6,57.0,8.34,8.39,5.15,15384
0.73,Ideal,F,SI1,61.7,55.0,5.79,5.82,3.58,3249
1.5,Premium,H,SI2,62.1,59.0,7.28,7.24,4.51,7500
1.24,Ideal,H,VS1,61.0,57.0,6.91,6.95,4.23,8719
2.14,Very Good,I,VS2,62.8,59.0,8.16,8.21,5.14,15931
0.45,Very Good,D,VS2,62.9,58.4,4.83,4.86,3.04,1311
0.28,Ideal,H,IF,62.0,56.0,4.2,4.23,2.61,586
1.35,Premium,I,SI2,62.3,59.0,7.09,7.03,4.4,5919
1.0,Good,F,SI1,63.6,58.0,6.27,6.31,4.0,4851
0.4,Ideal,E,VS2,62.9,55.0,4.73,4.72,2.97,975
0.54,Ideal,F,SI1,62.1,57.0,5.22,5.24,3.25,1385
0.32,Ideal,D,VS2,61.7,57.0,4.36,4.39,2.7,758
1.56,Ideal,I,SI1,62.5,54.0,7.45,7.37,4.63,9788
1.02,Good,G,VS1,64.3,57.0,6.28,6.34,4.06,5951
1.0,Fair,E,VS2,57.4,58.0,6.57,6.64,3.79,6268
1.02,Very Good,J,SI1,61.4,58.0,6.47,6.5,3.98,4137
0.69,Premium,H,VS2,60.8,59.0,5.77,5.74,3.5,1863
1.53,Very Good,F,SI1,61.9,56.0,7.45,7.32,4.57,12621
1.21,Premium,J,VVS1,61.3,59.0,6.86,6.81,4.19,6001
0.51,Ideal,E,SI1,61.5,55.0,5.16,5.18,3.18,1438
0.75,Good,F,VS1,64.4,59.0,5.67,5.72,3.66,2953
0.97,Ideal,F,I1,60.7,56.0,6.43,6.41,3.9,2856
0.23,Very Good,E,VVS1,62.9,58.0,3.94,3.95,2.48,478
0.56,Ideal,I,VVS1,62.0,56.0,5.29,5.26,3.27,1698
1.45,Fair,F,I1,64.8,67.0,7.16,7.0,4.64,4320
1.2,Very Good,H,SI2,62.0,58.0,6.73,6.79,4.19,5352
0.9,Good,H,SI2,62.4,61.0,6.03,6.11,3.79,3160
0.72,Very Good,H,VVS2,60.3,56.0,5.81,5.83,3.51,2771
0.32,Ideal,G,VVS1,60.8,56.0,4.44,4.37,2.68,1080
0.6,Ideal,E,SI1,61.4,57.0,5.52,5.46,3.37,1601
0.41,Ideal,E,VS2,61.6,55.0,4.79,4.75,2.94,999
1.68,Good,E,I1,64.3,60.0,7.44,7.48,4.8,5765
0.8,Ideal,G,SI2,62.2,56.0,5.95,5.91,3.69,2749
0.31,Ideal,E,IF,61.9,55.0,4.38,4.41,2.72,1046
0.57,Premium,D,SI1,62.6,56.0,5.4,5.34,3.36,2001
0.63,Ideal,I,VS2,62.1,54.0,5.51,5.54,3.43,1423
1.43,Very Good,D,SI1,63.5,56.0,7.24,7.09,4.55,9450
1.09,Ideal,H,SI1,61.1,57.0,6.6,6.69,4.1,5125
0.36,Ideal,H,VS2,62.0,55.0,4.58,4.63,2.86,599
0.78,Premium,G,VS2,60.8,58.0,6.03,5.95,3.64,2803
0.33,Ideal,I,IF,61.2,56.0,4.46,4.49,2.74,862
1.01,Premium,H,VS2,61.3,59.0,6.44,6.48,3.96,4959
0.71,Ideal,E,VVS1,61.0,57.0,5.75,5.76,3.51,4860
1.04,Premium,H,SI2,58.6,60.0,6.67,6.63,3.9,4368
0.71,Ideal,I,VVS2,60.7,57.0,5.76,5.8,3.51,3007
1.0,Premium,F,VS1,62.7,55.0,6.39,6.34,3.99,7056
0.91,Premium,I,SI2,62.0,59.0,6.18,6.23,3.85,2913
1.2,Good,I,SI1,63.1,58.0,6.66,6.72,4.22,4752
0.4,Very Good,H,VS1,63.4,58.0,4.74,4.66,2.98,1007
0.43,Very Good,F,SI1,62.9,60.0,4.77,4.8,3.01,792
0.39,Ideal,D,VVS2,61.8,57.0,4.67,4.71,2.9,1232
1.0,Very Good,E,VS2,62.6,60.0,6.35,6.4,3.99,6518
1.02,Ideal,J,SI2,61.6,55.0,6.49,6.43,3.98,2611
1.03,Ideal,J,SI1,62.3,56.0,6.51,6.45,4.04,3893
2.4,Premium,J,SI1,59.7,58.0,8.75,8.71,5.21,16304
2.5,Ideal,J,SI2,64.0,55.0,8.56,8.48,5.46,14502
0.78,Very Good,H,SI2,63.5,56.0,5.82,5.86,3.71,2265
1.5,Very Good,I,SI1,63.5,59.0,7.16,7.08,4.52,8081
0.56,Ideal,G,SI1,61.6,59.0,5.27,5.32,3.26,1755
0.53,Ideal,E,SI1,61.9,55.0,5.18,5.22,3.22,1435
0.32,Ideal,F,IF,60.7,56.0,4.43,4.46,2.7,990
1.03,Ideal,D,VS1,61.8,56.0,6.46,6.54,4.02,8612
0.9,Good,F,VS2,64.3,57.0,6.07,6.09,3.91,4617
0.32,Very Good,J,SI1,63.2,56.0,4.36,4.31,2.74,480
1.25,Premium,G,VS2,62.6,58.0,6.87,6.8,4.28,8820
1.2,Premium,G,SI2,62.6,61.0,6.73,6.68,4.2,4250
1.17,Very Good,D,SI2,60.9,60.0,6.72,6.78,4.11,6062
2.15,Premium,G,SI2,58.9,58.0,8.46,8.41,4.97,15751
1.21,Very Good,I,SI1,61.8,59.0,6.75,6.78,4.18,5672
1.04,Ideal,H,SI2,60.3,56.0,6.61,6.58,3.98,4193
0.32,Ideal,I,IF,61.6,56.0,4.4,4.43,2.72,655
0.5,Very Good,E,SI1,,56.0,5.06,5.07,3.17,1222
1.06,Very Good,F,SI2,60.0,59.0,6.6,6.63,3.97,4224
0.73,Premium,I,SI2,59.2,58.0,5.9,5.85,3.47,1744
1.0,Premium,G,I1,59.0,60.0,6.49,6.43,3.82,2264
0.7,Very Good,G,SI1,62.2,58.0,5.63,5.66,3.51,2095
0.32,Ideal,E,VS2,62.2,55.0,4.37,4.38,2.72,702
0.3,Premium,E,VS2,61.9,59.0,4.33,4.29,2.67,844
1.7,Premium,I,VS2,62.0,59.0,7.6,7.55,4.7,10929
1.0,Ideal,H,SI2,62.6,56.0,6.38,6.34,3.98,4256
1.27,Ideal,H,VS2,62.9,54.0,6.88,6.92,4.34,7937
1.23,Ideal,J,VS2,61.8,56.0,6.87,6.81,4.23,4986
0.9,Very Good,I,VS2,61.4,58.0,6.22,6.25,3.83,4089
0.4,Premium,F,SI1,62.9,58.0,4.72,4.69,2.96,882
0.73,Very Good,E,SI2,62.1,58.0,5.75,5.81,3.59,2395
0.47,Premium,E,SI1,59.3,56.0,5.07,5.05,3.02,1087
0.34,Premium,G,VS2,62.0,59.0,4.43,4.47,2.76,596
0.4,Ideal,F,VVS1,60.7,56.0,4.79,4.77,2.9,1323
1.03,Ideal,D,SI2,60.7,55.0,6.53,6.61,3.99,4752
0.52,Premium,G,VVS2,61.0,58.0,5.15,5.21,3.16,1707
0.4,Ideal,H,VVS1,62.2,55.0,4.75,4.7,2.94,1088
2.33,Ideal,I,VS2,62.4,57.0,8.52,8.47,5.31,15073
1.14,Premium,D,SI2,60.3,58.0,6.79,6.71,4.07,4972
0.7,Premium,F,SI1,62.3,58.0,5.67,5.72,3.55,2196
1.02,Good,D,VS1,64.6,58.0,6.22,6.28,4.04,6797
0.31,Ideal,H,SI2,61.1,56.0,4.4,4.42,2.69,421
0.31,Ideal,D,VVS2,60.9,57.0,4.42,4.38,2.68,997
0.54,Premium,E,VS2,59.2,58.0,5.32,5.35,3.16,1754
1.06,Very Good,H,VS2,60.7,59.0,6.56,6.63,4.0,5415
1.27,Good,I,VS2,63.3,63.0,6.82,6.87,4.33,5923
1.21,Ideal,F,SI2,61.8,57.0,6.87,6.82,4.23,6105
0.3,Ideal,G,VVS2,61.4,57.0,4.29,4.31,2.64,665
1.03,Ideal,G,VVS1,61.5,57.0,6.47,6.52,3.99,9691
0.4,Ideal,F,VVS1,61.7,57.0,4.72,4.75,2.92,1128
0.7,Good,E,VS2,64.2,60.0,5.64,5.58,3.6,2415
0.76,Ideal,F,SI2,61.1,55.0,5.9,5.94,3.62,2469
1.11,Very Good,J,VS2,61.8,56.0,6.59,6.64,4.09,4283
1.16,Ideal,G,SI2,61.6,55.0,6.8,6.78,4.18,5171
0.3,Very Good,I,VS1,60.8,59.0,4.3,4.32,2.62,473
0.9,Very Good,H,SI1,58.7,59.0,6.3,6.35,3.71,3447
1.2,Premium,H,VS2,60.7,60.0,6.88,6.82,4.16,6250
0.7,Good,D,SI1,63.6,60.0,5.59,5.51,3.51,2512
1.21,Premium,G,VS2,62.8,59.0,6.84,6.76,4.27,8402
0.7,Ideal,G,SI1,61.6,55.0,5.71,5.76,3.53,3145
0.5,Premium,D,SI1,62.2,57.0,5.11,5.08,3.17,1654
1.27,Ideal,J,SI2,62.6,57.0,6.85,6.88,4.3,4693
0.58,Ideal,F,VVS2,61.8,56.0,5.37,5.41,3.33,2263
0.4,Premium,F,VS1,62.5,57.0,4.72,4.69,2.94,1050
0.32,Very Good,H,VVS2,60.2,60.0,4.45,4.48,2.69,645
0.4,Ideal,D,VS2,61.3,56.0,4.74,4.79,2.92,982
0.3,Ideal,H,VS1,62.1,54.0,4.32,4.35,2.69,526
1.05,Premium,H,VS2,60.5,58.0,6.7,6.63,4.03,4739
0.83,Very Good,I,VVS1,61.8,56.0,6.0,6.03,3.72,3774
1.01,Good,F,VVS2,60.3,62.0,6.47,6.54,3.92,8647
1.27,Good,J,SI2,66.0,59.0,6.71,6.75,4.44,4542
0.35,Premium,F,VS2,61.8,58.0,4.48,4.52,2.78,706
2.0,Fair,F,I1,64.9,57.0,7.99,7.82,5.14,7258
0.93,Premium,D,SI1,60.8,59.0,6.27,6.24,3.8,4448
0.34,Ideal,H,VVS1,62.0,54.0,4.46,4.48,2.77,775
1.53,Premium,I,SI1,62.9,59.0,7.36,7.32,4.62,8911
0.4,Very Good,G,IF,61.2,57.0,4.77,4.79,2.92,1220
0.71,Very Good,E,VS2,60.7,56.0,5.81,5.82,3.53,2795
0.32,Ideal,H,IF,61.4,55.0,4.42,4.47,2.73,814
0.32,Ideal,G,VS1,62.3,55.0,4.4,4.37,2.73,828
0.33,Ideal,E,VS2,,55.0,4.48,4.46,2.74,928
2.01,Premium,I,SI1,61.0,60.0,8.16,8.11,4.96,12617
0.3,Ideal,F,VVS1,61.8,57.0,4.3,4.34,2.67,814
0.3,Ideal,E,VS2,63.8,56.0,4.28,4.2,2.71,619
0.3,Ideal,E,VVS1,61.2,57.0,4.33,4.36,2.66,895
0.7,Very Good,G,VS2,62.5,54.0,5.63,5.69,3.54,2562
0.58,Very Good,G,SI1,61.9,56.0,5.35,5.39,3.32,1379
1.57,Ideal,E,VS2,62.3,57.0,7.39,7.44,4.62,16570
0.32,Ideal,G,VS1,61.2,56.0,4.45,4.41,2.71,828
0.33,Ideal,E,VS1,60.6,57.0,4.49,4.52,2.73,686
1.17,Ideal,G,VS2,62.2,57.0,6.75,6.72,4.19,6321
0.33,Premium,G,VS1,62.4,59.0,4.41,4.47,2.77,666
0.56,Ideal,D,VVS2,61.7,58.0,5.26,5.3,3.26,2612
1.73,Very Good,G,VS2,62.9,58.0,7.58,7.65,4.79,16807
1.04,Ideal,I,VS1,63.0,56.0,6.44,6.41,4.05,4696
1.26,Ideal,G,VS2,60.8,55.0,7.02,7.04,4.28,9399
1.04,Ideal,F,SI2,62.1,57.0,6.46,6.48,4.02,4668
0.4,Good,H,SI2,63.7,59.0,4.64,4.69,2.97,561
0.38,Ideal,H,SI1,61.2,56.0,4.63,4.68,2.85,650
2.08,Ideal,I,SI2,62.3,56.0,8.16,8.22,5.1,15132
1.01,Premium,H,SI1,59.5,59.0,6.56,6.52,3.89,4771
0.32,Ideal,E,SI1,61.8,55.0,4.45,4.42,2.74,720
1.08,Very Good,H,SI2,63.0,59.0,6.51,6.54,4.11,4481
0.8,Very Good,J,SI1,61.6,56.0,5.94,5.98,3.67,2224
0.42,Ideal,F,SI1,60.6,57.0,4.84,4.9,2.95,773
0.38,Ideal,D,SI2,62.0,53.0,4.68,4.71,2.91,599
0.34,Ideal,I,VS1,62.0,56.0,4.5,4.53,2.8,555
0.38,Good,E,VVS1,62.4,64.0,4.59,4.61,2.87,904
1.6,Fair,F,SI2,65.0,56.0,7.35,7.26,4.8,6272
0.7,Ideal,F,SI1,60.7,57.0,5.78,5.82,3.52,2671
0.4,Ideal,F,VS2,61.9,55.0,4.77,4.73,2.94,975
0.3,Very Good,D,VS1,62.1,58.0,4.25,4.29,2.65,742
0.33,Ideal,H,VS1,61.9,56.0,4.44,4.48,2.76,579
0.9,Very Good,D,SI1,61.1,63.0,6.21,6.17,3.78,3997
0.31,Ideal,H,SI1,62.7,56.0,4.38,4.33,2.73,573
0.28,Ideal,G,VVS1,61.8,55.0,4.19,4.23,2.6,650
1.53,Very Good,E,SI2,59.3,60.0,7.44,7.46,4.42,8270
0.71,Good,E,SI2,58.8,63.0,5.75,5.88,3.42,2120
1.6,Ideal,I,SI2,61.9,57.0,7.48,7.51,4.64,8377
1.0,Premium,G,VS2,62.9,56.0,6.42,6.27,3.99,5806
1.01,Good,D,SI2,57.6,62.0,6.56,6.66,3.81,4260
0.91,Very Good,I,SI2,62.8,61.0,6.15,6.18,3.87,2832
0.37,Very Good,H,SI1,62.6,63.0,4.6,4.5,2.85,613
1.54,Premium,H,SI1,62.2,58.0,7.45,7.32,4.59,10466
0.72,Premium,E,VS1,61.5,60.0,5.79,5.75,3.55,2961
0.4,Premium,F,VS2,61.6,58.0,4.8,4.75,2.94,1080
0.33,Ideal,H,VS1,62.6,56.0,4.39,4.42,2.75,610
0.3,Ideal,G,VVS2,62.2,54.0,4.33,4.29,2.68,819
0.23,Very Good,E,VVS2,60.2,57.0,3.99,4.05,2.42,465
0.31,Ideal,D,VVS2,61.6,56.0,4.38,4.34,2.69,982
0.26,Good,E,VVS1,59.4,61.0,4.13,4.15,2.46,597
0.46,Ideal,F,IF,62.0,55.0,4.96,4.98,3.08,1950
0.61,Ideal,G,VVS2,62.4,53.8,5.42,5.45,3.39,2331
0.81,Ideal,F,VS2,61.7,57.0,5.97,6.02,3.7,3756
1.24,Very Good,J,SI2,63.3,60.0,6.83,6.75,4.29,3908
1.16,Ideal,F,VVS2,61.8,56.7,6.7,6.78,4.16,10439
0.3,Very Good,F,SI1,63.5,57.0,4.27,4.24,2.7,641
0.7,Very Good,E,VVS1,63.2,57.0,5.62,5.67,3.57,4644
1.0,Fair,E,VS1,64.4,55.0,6.33,6.3,4.07,7392
0.41,Ideal,J,VS2,61.7,55.0,4.79,4.81,2.96,587
0.34,Very Good,G,SI2,62.8,58.0,4.43,4.46,2.79,447
0.41,Ideal,E,VVS2,61.5,55.0,4.83,4.79,2.96,1243
1.5,Premium,G,SI1,62.3,58.0,7.27,7.33,4.55,10428
0.33,Ideal,I,IF,61.1,56.0,4.45,4.49,2.73,675
0.72,Premium,J,VVS1,61.4,61.0,5.77,5.7,3.52,2203
0.71,Ideal,H,SI1,61.1,57.0,5.71,5.75,3.5,2313
1.52,Very Good,G,VS1,62.1,57.0,7.27,7.32,4.53,12968
0.31,Ideal,E,IF,60.9,55.0,4.39,4.41,2.68,987
0.7,Very Good,G,SI1,62.7,55.0,5.63,5.66,3.54,2281
0.8,Ideal,I,VS1,62.6,54.0,5.92,5.96,3.72,2842
1.01,Fair,H,SI1,65.3,57.0,6.33,6.23,4.1,4256
2.05,Premium,J,VS2,62.3,60.0,8.09,8.15,5.06,13543
0.41,Very Good,E,VS1,62.8,56.0,4.72,4.77,2.98,834
0.41,Ideal,D,SI1,62.3,55.0,4.79,4.77,2.98,1015
0.3,Very Good,G,VVS2,62.9,58.0,4.26,4.29,2.69,638
1.01,Good,E,SI1,63.3,57.0,6.33,6.37,4.02,4692
0.41,Premium,E,VS1,60.1,58.0,4.81,4.84,2.9,1079
0.44,Premium,E,VS1,60.7,58.0,4.91,4.88,2.97,1238
0.72,Ideal,I,VS1,60.7,57.0,5.78,5.81,3.51,2539
0.59,Ideal,D,SI1,61.2,56.0,5.38,5.43,3.31,1694
0.57,Ideal,H,SI2,62.0,57.0,5.3,5.35,3.3,1121
0.32,Premium,E,VVS2,61.5,58.0,4.36,4.42,2.7,842
0.3,Premium,G,VVS2,61.2,58.0,4.32,4.34,2.65,684
1.1,Very Good,I,VS2,61.8,58.0,6.59,6.62,4.08,5524
0.46,Very Good,E,VS2,61.3,57.0,4.99,5.02,3.07,1081
0.3,Good,F,VVS1,61.1,61.0,4.29,4.32,2.63,682
0.4,Premium,J,VS1,,60.0,4.76,4.79,2.9,631
0.41,Ideal,E,SI1,62.7,57.0,4.77,4.74,2.98,969
1.01,Very Good,I,SI1,62.1,58.0,6.38,6.44,3.98,3888
2.4,Ideal,J,SI1,62.0,57.0,8.53,8.47,5.27,12468
0.9,Premium,H,VS1,62.4,58.0,6.15,6.19,3.85,4309
1.24,Very Good,F,VS1,59.0,60.0,7.0,7.07,4.15,9885
0.35,Premium,J,VS1,62.4,58.0,5.67,5.64,3.53,949
0.54,Good,H,SI1,59.4,65.0,5.31,5.22,3.13,1131
2.05,Ideal,J,VS1,61.8,58.0,8.12,8.16,5.03,15450
1.53,Premium,G,VS2,59.9,61.0,7.54,7.45,4.49,13206
1.01,Ideal,J,SI1,60.2,59.0,6.48,6.51,3.91,4194
0.32,Premium,E,VVS1,60.8,59.0,4.45,4.43,2.7,1044
0.43,Very Good,G,VS2,62.4,56.0,4.84,4.87,3.02,852
0.43,Premium,H,VS2,61.9,55.0,4.95,4.8,3.02,1016
0.25,Ideal,E,VVS1,61.5,55.0,4.09,4.12,2.52,705
